PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168561,5351344,Active,,,,0.0017,IC50,=,1.7,nM
2,123097261,31703,Active,,,,1.17,IC50,=,1170,nM
3,124974065,36314,Active,,,,0.019,IC50,=,19,nM
4,160677133,5978,Active,,,,0.35,IC50,=,350,nM
5,336901359,127048399,Active,,,,0.067,IC50,=,67,nM
6,336901360,127048400,Active,,,,0.038,IC50,=,38,nM
7,336901361,21850299,Unspecified,,,,1,IC50,>,1000,nM
8,336901362,127048401,Unspecified,,,,1,IC50,>,1000,nM
9,336901363,127048402,Unspecified,,,,1,IC50,>,1000,nM
10,336901364,127048403,Unspecified,,,,1,IC50,>,1000,nM
11,336902225,127049070,Active,,,,0.057,IC50,=,57,nM
12,336902659,127049384,Active,,,,0.041,IC50,=,41,nM
13,336902660,127049385,Active,,,,0.034,IC50,=,34,nM
14,336906125,127051876,Active,,,,0.087,IC50,=,87,nM
15,336906126,127051877,Active,,,,0.017,IC50,=,17,nM
16,336906127,127051878,Active,,,,0.056,IC50,=,56,nM
17,336906128,127051879,Active,,,,0.02,IC50,=,20,nM
18,336906129,127051880,Active,,,,0.079,IC50,=,79,nM
19,336906130,127051881,Active,,,,0.169,IC50,=,169,nM
20,336906558,127052200,Active,,,,0.679,IC50,=,679,nM
21,336907009,127052509,Active,,,,0.061,IC50,=,61,nM
22,336907404,21850214,Unspecified,,,,1,IC50,>,1000,nM
23,336907405,127052790,Active,,,,0.315,IC50,=,315,nM
24,336907406,127052791,Active,,,,0.048,IC50,=,48,nM
25,336907407,127052792,Active,,,,0.726,IC50,=,726,nM
26,336907408,21850283,Active,,,,0.274,IC50,=,274,nM
27,336907409,127052793,Active,,,,0.047,IC50,=,47,nM
28,336907410,127052794,Active,,,,0.006,IC50,=,6,nM
29,336907411,127052795,Active,,,,0.092,IC50,=,92,nM
30,336907412,127052796,Unspecified,,,,1,IC50,>,1000,nM
31,336907413,127052797,Unspecified,,,,1,IC50,>,1000,nM
32,336907414,127052798,Active,,,,0.557,IC50,=,557,nM
33,336907415,127052799,Active,,,,0.675,IC50,=,675,nM
34,336907416,127052800,Active,,,,0.077,IC50,=,77,nM
