PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,40.21,IC50,=,40210,nM
2,103570603,119034,Active,,,,40.78,IC50,=,40780,nM
3,312356170,118712604,Active,,,,23.24,IC50,=,23240,nM
4,312356171,118712605,Active,,,,14.13,IC50,=,14130,nM
5,312356172,118712606,Unspecified,,,,100,IC50,>,100000,nM
6,312356173,118712607,Active,,,,34.43,IC50,=,34430,nM
7,312356174,118712608,Active,,,,17.2,IC50,=,17200,nM
8,312356175,118712609,Active,,,,22.44,IC50,=,22440,nM
9,312356176,118712610,Unspecified,,,,100,IC50,>,100000,nM
10,312356177,118712611,Active,,,,16.11,IC50,=,16110,nM
11,312356178,118712612,Unspecified,,,,100,IC50,>,100000,nM
12,312356179,118712613,Active,,,,16.25,IC50,=,16250,nM
13,312356180,118712614,Active,,,,23.47,IC50,=,23470,nM
14,312356181,118712615,Unspecified,,,,100,IC50,>,100000,nM
15,312356182,118712616,Active,,,,19.07,IC50,=,19070,nM
16,312356183,118712617,Active,,,,20.57,IC50,=,20570,nM
17,312356184,118712618,Active,,,,17.2,IC50,=,17200,nM
18,312356185,118712619,Active,,,,17.39,IC50,=,17390,nM
19,312356186,118712620,Active,,,,17.03,IC50,=,17030,nM
20,312356187,118712621,Active,,,,15.72,IC50,=,15720,nM
21,312356188,118712622,Active,,,,20.44,IC50,=,20440,nM
22,312356189,118712623,Unspecified,,,,100,IC50,>,100000,nM
