PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,312368879,118720654,Active,,,,0.115,IC50,=,115,nM
2,312368880,118143962,Active,,,,0.038,IC50,=,38,nM
3,312368881,118720655,Active,,,,0.596,IC50,=,596,nM
4,312368882,118720656,Active,,,,1.829,IC50,=,1829,nM
5,312368883,118146849,Active,,,,0.313,IC50,=,313,nM
6,312368884,118146984,Active,,,,0.139,IC50,=,139,nM
7,312368885,118146814,Active,,,,0.162,IC50,=,162,nM
8,312368887,118146797,Active,,,,3.063,IC50,=,3063,nM
9,312368890,118146855,Active,,,,0.08,IC50,=,80,nM
10,312368891,118146798,Active,,,,4.588,IC50,=,4588,nM
11,312368892,118146793,Active,,,,0.071,IC50,=,71,nM
12,312368893,118144051,Active,,,,0.23,IC50,=,230,nM
13,312368894,70702010,Active,,,,0.117,IC50,=,117,nM
14,312368895,118146727,Active,,,,0.141,IC50,=,141,nM
15,312368896,118146932,Active,,,,0.141,IC50,=,141,nM
16,312368898,118146794,Active,,,,5.184,IC50,=,5184,nM
17,312368899,87057579,Active,,,,0.098,IC50,=,98,nM
18,312368900,118146748,Active,,,,0.13,IC50,=,130,nM
19,312368901,118144359,Active,,,,0.062,IC50,=,62,nM
20,312368902,118146884,Active,,,,0.311,IC50,=,311,nM
21,312368903,118144281,Active,,,,0.133,IC50,=,133,nM
22,312368904,118146828,Active,,,,0.203,IC50,=,203,nM
23,312368905,118146826,Active,,,,0.162,IC50,=,162,nM
24,312368906,118146874,Active,,,,0.116,IC50,=,116,nM
25,312368907,118146873,Active,,,,0.594,IC50,=,594,nM
26,312368908,118144367,Active,,,,0.114,IC50,=,114,nM
27,312368909,118146805,Active,,,,0.034,IC50,=,34,nM
28,312368910,118146979,Active,,,,0.021,IC50,=,21,nM
29,312368911,118146804,Active,,,,0.023,IC50,=,23,nM
30,312368912,118146882,Active,,,,0.023,IC50,=,23,nM
31,312368913,101891709,Active,,,,0.001,IC50,<,1,nM
32,312368914,118720657,Active,,,,0.137,IC50,=,137,nM
33,312368915,118146813,Active,,,,0.1,IC50,=,100,nM
34,312368916,86763302,Active,,,,0.206,IC50,=,206,nM
35,312368917,118144380,Active,,,,0.169,IC50,=,169,nM
36,312368918,118720658,Active,,,,0.034,IC50,=,34,nM
37,312368919,118720659,Active,,,,0.029,IC50,=,29,nM
