PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103169732,2719,Active,,,,0.04,IC50,=,40,nM
2,103387166,7514817,Unspecified,,,,61,IC50,=,61000,nM
3,123096147,7515130,Active,,,,11.5,IC50,=,11500,nM
4,136921972,56945282,Active,,,,2.2,IC50,=,2200,nM
5,136922055,56945407,Unspecified,,,,100,IC50,>,100000,nM
6,136925282,56945180,Active,,,,25.6,IC50,=,25600,nM
7,136925283,56945283,Active,,,,4.9,IC50,=,4900,nM
8,136928501,56945184,Active,,,,4.2,IC50,=,4200,nM
9,136928561,56945409,Active,,,,15,IC50,=,15000,nM
10,136931720,56946812,Unspecified,,,,100,IC50,>,100000,nM
11,136931721,56946814,Active,,,,18,IC50,=,18000,nM
12,136931794,56945406,Unspecified,,,,100,IC50,>,100000,nM
13,136935178,56946813,Active,,,,29.5,IC50,=,29500,nM
14,136935179,56946815,Active,,,,36.3,IC50,=,36300,nM
15,136935180,56945181,Unspecified,,,,100,IC50,>,100000,nM
16,136935181,56945183,Active,,,,5.3,IC50,=,5300,nM
17,136938289,56945179,Unspecified,,,,100,IC50,>,100000,nM
18,136938290,56945284,Active,,,,16,IC50,=,16000,nM
19,136938369,56945408,Active,,,,2.8,IC50,=,2800,nM
20,136939632,46932090,Unspecified,,,,66,IC50,=,66000,nM
21,136941583,56945506,Active,,,,34,IC50,=,34000,nM
22,136941584,56945405,Active,,,,2.2,IC50,=,2200,nM
23,136941585,46932001,Active,,,,11,IC50,=,11000,nM
24,136944713,56945182,Active,,,,10,IC50,=,10000,nM
25,136944770,56945285,Active,,,,4.3,IC50,=,4300,nM
26,136944771,56945286,Unspecified,,,,50,IC50,=,50000,nM
27,136944772,56945287,Active,,,,5.2,IC50,=,5200,nM
28,136945997,44243661,Unspecified,,,,100,IC50,>,100000,nM
