PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103178476,31593,Unspecified,,,,150,CC50,>,150000,nM
2,103186893,3599,Unspecified,,,,122,CC50,=,122000,nM
3,374266953,134131693,Unspecified,,,,116,CC50,=,116000,nM
4,374271519,134132947,Unspecified,,,,138,CC50,=,138000,nM
5,374275568,134134004,Unspecified,,,,150,CC50,>,150000,nM
6,374281497,134135672,Active,,,,42,CC50,=,42000,nM
7,374286060,11374676,Unspecified,,,,70,CC50,=,70000,nM
8,374289661,134137834,Unspecified,,,,150,CC50,>,150000,nM
9,374292430,134138614,Unspecified,,,,150,CC50,>,150000,nM
10,374292837,134138732,Unspecified,,,,65,CC50,=,65000,nM
11,374298052,134140136,Unspecified,,,,150,CC50,>,150000,nM
12,374303515,134141662,Unspecified,,,,100,CC50,=,100000,nM
13,374305063,134142085,Unspecified,,,,150,CC50,>,150000,nM
14,374308756,134143123,Active,,,,2,CC50,=,2000,nM
15,374311080,134143783,Unspecified,,,,57,CC50,=,57000,nM
16,374311813,134144012,Unspecified,,,,150,CC50,>,150000,nM
17,374317820,134145662,Unspecified,,,,84,CC50,=,84000,nM
18,374318221,10596830,Unspecified,,,,150,CC50,>,150000,nM
19,374339703,134151797,Unspecified,,,,60,CC50,=,60000,nM
20,374345183,15386544,Active,,,,45,CC50,=,45000,nM
