PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,2.76,IC50,=,2760,nM
2,336901115,127048208,Active,,,,9.98,IC50,=,9980,nM
3,336901116,127048209,Active,,,,5.73,IC50,=,5730,nM
4,336901117,127048210,Unspecified,,,,50,IC50,>,50000,nM
5,336901118,127048211,Active,,,,1.98,IC50,=,1980,nM
6,336901119,127048212,Active,,,,13.4,IC50,=,13400,nM
7,336901497,127048509,Active,,,,3.89,IC50,=,3890,nM
8,336902794,127049500,Active,,,,10.65,IC50,=,10650,nM
9,336902864,127049538,Active,,,,4.89,IC50,=,4890,nM
10,336902865,127049539,Unspecified,,,,50,IC50,>,50000,nM
11,336902866,127049540,Active,,,,3.89,IC50,=,3890,nM
12,336902867,127049541,Unspecified,,,,50,IC50,>,50000,nM
13,336902868,127049542,Active,,,,4.43,IC50,=,4430,nM
14,336903700,127050137,Active,,,,7.98,IC50,=,7980,nM
15,336903701,127050138,Active,,,,5.2,IC50,=,5200,nM
16,336903702,127050139,Unspecified,,,,50,IC50,>,50000,nM
17,336904182,127050477,Active,,,,5.93,IC50,=,5930,nM
18,336904619,127050790,Active,,,,7.9,IC50,=,7900,nM
19,336904620,127050791,Active,,,,3.8,IC50,=,3800,nM
20,336904621,127050792,Unspecified,,,,50,IC50,>,50000,nM
21,336904622,127050793,Active,,,,2.6,IC50,=,2600,nM
22,336904623,127050794,Active,,,,4.6,IC50,=,4600,nM
23,336905848,127051687,Active,,,,3.6,IC50,=,3600,nM
24,336905849,127051688,Active,,,,6.4,IC50,=,6400,nM
25,336906234,127051967,Active,,,,14.1,IC50,=,14100,nM
26,336906305,127052009,Active,,,,18.9,IC50,=,18900,nM
27,336906306,127052010,Active,,,,7.7,IC50,=,7700,nM
28,336906307,127052011,Active,,,,11.2,IC50,=,11200,nM
29,336906735,127052330,Unspecified,,,,50,IC50,>,50000,nM
30,336906736,127052331,Active,,,,4.6,IC50,=,4600,nM
31,336906737,127052332,Active,,,,9.6,IC50,=,9600,nM
