PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103223867,460612,Active,,,,1.44,IC50,=,1440,nM,
2,103340697,5281767,Active,,,,8.16,IC50,=,8160,nM,
3,160699116,54753797,Active,,,,0.75,IC50,=,750,nM,
4,174486337,71699537,Active,,,,7.72,IC50,=,7720,nM,
5,174491343,73347407,Active,,,,49.9,IC50,=,49900,nM,
6,174496383,71698345,Unspecified,,,,276,IC50,=,276000,nM,Outside typical range
7,174501650,71699612,Active,,,,4.36,IC50,=,4360,nM,
8,174501651,73350499,Active,,,,0.348,IC50,=,348,nM,
9,174506836,71699538,Active,,,,0.793,IC50,=,793,nM,
10,174506837,73352015,Active,,,,24.6,IC50,=,24600,nM,
11,174506838,71699540,Active,,,,0.221,IC50,=,221,nM,
12,174506839,73352016,Active,,,,0.201,IC50,=,201,nM,
13,174506840,73352017,Active,,,,0.284,IC50,=,284,nM,
14,174506842,73352019,Active,,,,2.52,IC50,=,2520,nM,
15,174511971,73353478,Active,,,,3.44,IC50,=,3440,nM,
16,174517035,71699611,Unspecified,,,,95.1,IC50,=,95100,nM,
17,174517036,73354978,Unspecified,,,,369,IC50,=,369000,nM,Outside typical range
18,174522214,73356538,Active,,,,1.06,IC50,=,1060,nM,
19,174522215,73356539,Active,,,,2.75,IC50,=,2750,nM,
20,312348076,71699613,Active,,,,0.325,IC50,=,325,nM,
