PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103244983,123631,Active,,,,8.28,IC50,=,8280,nM,
2,103420820,216239,Active,,,,13.64,IC50,=,13640,nM,
3,336887051,127038096,Active,,,,12.87,IC50,=,12870,nM,
4,336887052,127038097,Active,,,,15.23,IC50,=,15230,nM,
5,336887511,127038447,Active,,,,24.52,IC50,=,24520,nM,
6,336887512,127038448,Active,,,,5.21,IC50,=,5210,nM,
7,336887512,127038448,Unspecified,,,Potential missing data,,Activity,,,,Dose-dependent effect
8,336887512,127038448,Unspecified,,,Potential missing data,,Activity,,,,tde
9,336887513,127038449,Active,,,,23.77,IC50,=,23770,nM,
10,336887514,127038450,Active,,,,16.93,IC50,=,16930,nM,
11,336887530,127038460,Active,,,,22.67,IC50,=,22670,nM,
12,336887531,127038461,Active,,,,30.39,IC50,=,30390,nM,
13,336887532,127038462,Unspecified,,,,50,IC50,>,50000,nM,
14,336887987,127038838,Active,,,,35.27,IC50,=,35270,nM,
15,336887988,127038839,Active,,,,29.32,IC50,=,29320,nM,
16,336888299,127039073,Active,,,,15.17,IC50,=,15170,nM,
17,336889257,127039782,Active,,,,18.4,IC50,=,18400,nM,
18,336889258,127039783,Active,,,,40.22,IC50,=,40220,nM,
19,336889259,127039784,Active,,,,30.19,IC50,=,30190,nM,
20,336889260,127039785,Active,,,,24.94,IC50,=,24940,nM,
21,336889264,127039788,Active,,,,29.28,IC50,=,29280,nM,
22,336889265,127039789,Active,,,,17.89,IC50,=,17890,nM,
23,336889266,127039790,Active,,,,26.09,IC50,=,26090,nM,
24,336889267,127039791,Active,,,,21.03,IC50,=,21030,nM,
25,336889272,127039796,Unspecified,,,,50,IC50,>,50000,nM,
26,336889273,127039797,Active,,,,29.42,IC50,=,29420,nM,
27,336889274,127039798,Active,,,,17.14,IC50,=,17140,nM,
28,336889691,127040130,Active,,,,30.81,IC50,=,30810,nM,
29,336889698,127040137,Active,,,,17.97,IC50,=,17970,nM,
30,336889699,127040138,Unspecified,,,,50,IC50,>,50000,nM,
31,336889700,127040139,Unspecified,,,,50,IC50,>,50000,nM,
32,336889706,127040145,Active,,,,21.37,IC50,=,21370,nM,
