PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,3.61,IC50,=,3610,nM
2,242444699,201327,Active,,,,8.97,IC50,=,8970,nM
3,336886758,127037874,Active,,,,22.19,IC50,=,22190,nM
4,336888091,127038909,Active,,,,13.48,IC50,=,13480,nM
5,336888270,127039052,Active,,,,2.06,IC50,=,2060,nM
6,336888271,127039053,Active,,,,24.32,IC50,=,24320,nM
7,336888272,127039054,Active,,,,1.78,IC50,=,1780,nM
8,336888273,127039055,Active,,,,31.21,IC50,=,31210,nM
9,336892801,127042467,Active,,,,6.97,IC50,=,6970,nM
10,336892802,127042468,Active,,,,32.85,IC50,=,32850,nM
11,336892803,127042469,Active,,,,39.39,IC50,=,39390,nM
12,336892804,127042470,Active,,,,37.72,IC50,=,37720,nM
13,336893235,127042775,Active,,,,48.21,IC50,=,48210,nM
14,336893485,127042953,Unspecified,,,,50,IC50,>,50000,nM
