PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,123097261,31703,Active,,,,2.57,IC50,=,2570,nM,
2,336877237,127033135,Unspecified,,,,100,IC50,=,100000,nM,
3,336877238,127033136,Active,,,,32.94,IC50,=,32940,nM,
4,336877245,127033142,Active,,,,21.37,IC50,=,21370,nM,
5,336877641,127033411,Active,,,,17.33,IC50,=,17330,nM,
6,336877654,127033412,Unspecified,,,,158.48,IC50,=,158480,nM,Outside typical range
7,336877658,127033413,Active,,,,17.47,IC50,=,17470,nM,
8,336877659,127033414,Unspecified,,,,77.62,IC50,=,77620,nM,
9,336877660,127033415,Active,,,,14.79,IC50,=,14790,nM,
10,336877661,127033416,Active,,,,15.66,IC50,=,15660,nM,
11,336877662,127033417,Active,,,,21.23,IC50,=,21230,nM,
12,336877663,127033418,Active,,,,18.4,IC50,=,18400,nM,
13,336878073,127033711,Active,,,,43.03,IC50,=,43030,nM,
14,336878074,127033712,Active,,,,36.86,IC50,=,36860,nM,
15,336878075,15127781,Active,,,,18.3,IC50,=,18300,nM,
16,336878076,127033713,Active,,,,7.76,IC50,=,7760,nM,
17,336878479,127033988,Active,,,,22.87,IC50,=,22870,nM,
18,336878511,127034007,Active,,,,12.83,IC50,=,12830,nM,
19,336878512,127034008,Active,,,,18.81,IC50,=,18810,nM,
20,336878520,127034015,Active,,,,16.21,IC50,=,16210,nM,
21,336878521,127034016,Unspecified,,,,125.89,IC50,=,125890,nM,Outside typical range
22,336878522,127034017,Unspecified,,,,50.69,IC50,=,50690,nM,
23,336878921,127034252,Active,,,,12.45,IC50,=,12450,nM,
24,336878922,127034253,Active,,,,13.48,IC50,=,13480,nM,
25,336878923,127034254,Active,,,,20.06,IC50,=,20060,nM,
26,336878924,127034255,Active,,,,22.96,IC50,=,22960,nM,
27,336878932,127034259,Active,,,,26.15,IC50,=,26150,nM,
28,336878933,127034260,Active,,,,36.3,IC50,=,36300,nM,
29,336878963,127034287,Active,,,,37.15,IC50,=,37150,nM,
