PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,35.34,IC50,=,35340,nM
2,103570603,119034,Active,,,,37.26,IC50,=,37260,nM
3,312356170,118712604,Active,,,,32.55,IC50,=,32550,nM
4,312356171,118712605,Active,,,,28.18,IC50,=,28180,nM
5,312356172,118712606,Active,,,,20.76,IC50,=,20760,nM
6,312356173,118712607,Active,,,,14.2,IC50,=,14200,nM
7,312356174,118712608,Active,,,,13.1,IC50,=,13100,nM
8,312356175,118712609,Active,,,,16.23,IC50,=,16230,nM
9,312356176,118712610,Active,,,,18.46,IC50,=,18460,nM
10,312356177,118712611,Active,,,,14.58,IC50,=,14580,nM
11,312356178,118712612,Active,,,,32.45,IC50,=,32450,nM
12,312356179,118712613,Active,,,,34.5,IC50,=,34500,nM
13,312356180,118712614,Active,,,,17.81,IC50,=,17810,nM
14,312356181,118712615,Unspecified,,,,100,IC50,>,100000,nM
15,312356182,118712616,Active,,,,14.25,IC50,=,14250,nM
16,312356183,118712617,Active,,,,16.04,IC50,=,16040,nM
17,312356184,118712618,Active,,,,12.4,IC50,=,12400,nM
18,312356185,118712619,Active,,,,9.71,IC50,=,9710,nM
19,312356186,118712620,Active,,,,15.69,IC50,=,15690,nM
20,312356187,118712621,Active,,,,16.03,IC50,=,16030,nM
21,312356188,118712622,Active,,,,14.01,IC50,=,14010,nM
22,312356189,118712623,Active,,,,26.88,IC50,=,26880,nM
