PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103173891,94391,Active,,,,35.24,IC50,=,35240,nM
2,103507642,3385,Active,,,,24.43,IC50,=,24430,nM
3,194140376,76310930,Active,,,,32.52,IC50,=,32520,nM
4,194140377,76310931,Active,,,,45.85,IC50,=,45850,nM
5,194140378,76310932,Active,,,,32.3,IC50,=,32300,nM
6,194140379,76310933,Active,,,,40.85,IC50,=,40850,nM
7,194147239,76314571,Active,,,,25.48,IC50,=,25480,nM
8,194147240,76314572,Active,,,,35.77,IC50,=,35770,nM
9,194147241,76314573,Active,,,,44.1,IC50,=,44100,nM
10,194147242,76314574,Active,,,,32.14,IC50,=,32140,nM
11,194154122,76318151,Active,,,,30.33,IC50,=,30330,nM
12,194161101,76321837,Active,,,,27.43,IC50,=,27430,nM
13,194161102,76321838,Active,,,,37.79,IC50,=,37790,nM
14,194161103,76321839,Active,,,,39.27,IC50,=,39270,nM
15,194168017,76325470,Active,,,,35.33,IC50,=,35330,nM
16,194168018,76325471,Active,,,,34.76,IC50,=,34760,nM
17,194174817,76329016,Active,,,,36.84,IC50,=,36840,nM
18,194174818,76329017,Active,,,,24.1,IC50,=,24100,nM
19,194174819,76329018,Active,,,,27.38,IC50,=,27380,nM
20,194188527,76336296,Active,,,,15.67,IC50,=,15670,nM
21,194188528,76336297,Active,,,,27.43,IC50,=,27430,nM
