PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103166269,6758,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103753554,16101044,Active,,,,0.2309,IC50,=,230.9,nM,
3,103753555,54734323,Active,,,,16.41,IC50,=,16410,nM,
4,103753556,54734324,Active,,,,19.02,IC50,=,19020,nM,
5,103753557,54734325,Active,,,,13.3,IC50,=,13300,nM,
6,103753607,46888474,Active,,,,0.1511,IC50,=,151.1,nM,
7,103753608,46845152,Active,,,,0.1331,IC50,=,133.1,nM,
8,103753609,46845153,Active,,,,0.1262,IC50,=,126.2,nM,
9,103753610,46888475,Active,,,,0.1802,IC50,=,180.2,nM,
10,103753611,46888476,Active,,,,0.1454,IC50,=,145.4,nM,
11,103753612,46888477,Active,,,,0.1353,IC50,=,135.3,nM,
12,103753657,54734326,Active,,,,1.25,IC50,=,1250,nM,
13,103753658,46888494,Unspecified,,,,25,IC50,>,25000,nM,
14,103753659,46845154,Active,,,,0.2571,IC50,=,257.1,nM,
15,103753660,46888495,Active,,,,0.595,IC50,=,595,nM,
16,103753661,46845155,Active,,,,0.1016,IC50,=,101.6,nM,
