PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103235497,135413511,Active,,,,7,IC50,=,7000,nM
2,103441765,135483605,Active,,,,2.9,IC50,=,2900,nM
3,103495493,136043839,Active,,,,8.3,IC50,=,8300,nM
4,103495516,136043840,Active,,,,7.2,IC50,=,7200,nM
5,103495517,136043841,Active,,,,25.8,IC50,=,25800,nM
6,103495519,135556245,Active,,,,2.5,IC50,=,2500,nM
7,103495520,136043842,Active,,,,5.8,IC50,=,5800,nM
8,103495521,136043843,Active,,,,1.4,IC50,=,1400,nM
9,103495544,135460927,Active,,,,10.7,IC50,=,10700,nM
10,103495546,136043844,Active,,,,3.6,IC50,=,3600,nM
11,103495547,44414727,Unspecified,,,,49,IC50,>,49000,nM
12,103495571,135556244,Active,,,,2.5,IC50,=,2500,nM
13,103495734,135455643,Active,,,,9,IC50,=,9000,nM
14,103495741,136043845,Active,,,,1.5,IC50,=,1500,nM
15,103495771,135433836,Active,,,,0.9,IC50,=,900,nM
16,103495800,44414854,Unspecified,,,,60,IC50,>,60000,nM
