PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103186118,3035714,Active,,,,1.25,GI50,=,1250,nM
2,312373880,118724058,Active,,,,16,GI50,=,16000,nM
3,312373881,118724059,Active,,,,17.3,GI50,=,17300,nM
4,312373882,118724060,Unspecified,,,,100,GI50,>,100000,nM
5,312373883,101879105,Unspecified,,,,100,GI50,>,100000,nM
6,312373884,118724061,Unspecified,,,,100,GI50,>,100000,nM
7,312373885,118724062,Unspecified,,,,100,GI50,>,100000,nM
8,312373886,118724063,Unspecified,,,,100,GI50,>,100000,nM
9,312373887,118724064,Unspecified,,,,100,GI50,>,100000,nM
10,312373888,118724065,Unspecified,,,,100,GI50,>,100000,nM
11,312374365,118724321,Active,,,,28.8,GI50,=,28800,nM
12,312374366,118724322,Unspecified,,,,100,GI50,>,100000,nM
13,312374367,118724323,Active,,,,10.5,GI50,=,10500,nM
14,312374368,118724324,Unspecified,,,,100,GI50,>,100000,nM
15,312374369,118724325,Unspecified,,,,100,GI50,>,100000,nM
16,312374370,118724326,Unspecified,,,,100,GI50,>,100000,nM
17,312374371,118724327,Active,,,,5.4,GI50,=,5400,nM
