PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,194134451,76307875,Unspecified,,,,169.824,IC50,=,169824,nM,Outside typical range
2,194134451,76307875,Unspecified,,,,170,IC50,=,170000,nM,Outside typical range
3,194134452,24861946,Active,,,,9.09913,IC50,=,9099.13,nM,
4,194134452,24861946,Active,,,,9.1,IC50,=,9100,nM,
5,194141255,76311444,Active,,,,19.6789,IC50,=,19678.9,nM,
6,194141255,76311444,Active,,,,19.7,IC50,=,19700,nM,
7,194141270,76311456,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
8,194141270,76311456,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
9,194141271,24861993,Active,,,,13.3045,IC50,=,13304.5,nM,
10,194141271,24861993,Active,,,,13.3,IC50,=,13300,nM,
11,194141272,24861994,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
12,194141272,24861994,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
13,194141273,76311457,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
14,194141273,76311457,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
15,194141274,76311458,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
16,194141274,76311458,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
17,194148096,24861947,Active,,,,25.8226,IC50,=,25822.6,nM,
18,194148096,24861947,Active,,,,25.8,IC50,=,25800,nM,
19,194148097,24861989,Active,,,,8.29851,IC50,=,8298.51,nM,
20,194148097,24861989,Active,,,,8.3,IC50,=,8300,nM,
21,194155018,76318680,Active,,,,19.4089,IC50,=,19408.9,nM,
22,194155018,76318680,Active,,,,19.4,IC50,=,19400,nM,
23,194155035,24861944,Active,,,,19.0985,IC50,=,19098.5,nM,
24,194155035,24861944,Active,,,,19.1,IC50,=,19100,nM,
25,194155036,24861988,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
26,194155036,24861988,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
27,194157620,76320074,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
28,194157620,76320074,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
29,194161943,24861889,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
30,194161943,24861889,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
31,194161963,24861891,Active,,,,1.69824,IC50,=,1698.24,nM,
32,194161963,24861891,Active,,,,1.7,IC50,=,1700,nM,
33,194161964,24861892,Unspecified,,,,199.986,IC50,>,199986,nM,Outside typical range
34,194161964,24861892,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
